Date,inflation,inflation.expectations,interest,gdp.log,output_gap_HP,covid.indicator
2015-04-01,5.704265047091184,3.1,3.0,10.69783692429399,0.5008012596745104,0.0
2015-07-01,5.866825067826897,3.466666666666667,3.0,10.69338361229259,-0.4738468135398577,0.0
2015-10-01,3.8997127954234267,3.5,3.2436507936507937,10.701167080303387,-0.19982660979867006,0.0
2016-01-01,3.1428784291005263,3.4,3.5,10.710883563236107,0.2900991330959002,0.0
2016-04-01,3.986637488993905,3.233333333333333,3.5,10.707357445135738,-0.5238925175016007,0.0
2016-07-01,2.9354469242521164,3.033333333333333,3.5,10.71354663267458,-0.34845354346355606,0.0
2016-10-01,1.2438642897300012,2.966666666666667,3.5,10.712904926298009,-0.8403191165310631,0.0
2017-01-01,2.886153599711605,2.9333333333333336,3.2617322291235333,10.706485893915483,-1.8960298785721363,0.0
2017-04-01,2.1201816712042687,2.9,2.6742424242424234,10.719718874439732,-0.974024171680199,0.0
2017-07-01,0.41916246659963186,2.7000000000000006,2.5,10.738331371663113,0.4982611686877192,0.0
2017-10-01,2.680349078597133,2.566666666666667,2.5,10.745228723599089,0.8117814942927737,0.0
2018-01-01,2.7730522309694416,2.6,2.5,10.757361256688009,1.6616795863546585,0.0
2018-04-01,2.7905723622366096,2.8000000000000003,2.5,10.768021038727088,2.3767649983456707,0.0
2018-07-01,3.0259958628966466,3.0,2.5,10.764981400803887,1.732935063030716,0.0
2018-10-01,2.4800874697398223,2.966666666666667,2.7007575757575766,10.777178303483637,2.620864582818072,0.0
2019-01-01,0.9168186200084971,2.7999999999999994,2.9204545454545467,10.773416359255704,1.9170104681128564,0.0
2019-04-01,4.129595664722241,2.8666666666666667,2.875,10.78653140615919,2.8993141439300985,0.0
2019-07-01,2.345838684807644,2.7999999999999994,2.3518518518518534,10.784756700576251,2.3842607380471392,0.0
2019-10-01,3.9568007441332265,2.9333333333333336,1.8143939393939401,10.744281486608552,-2.017877921147182,0.0
2020-01-01,4.376068799417587,3.1333333333333333,1.625,10.765340511176328,-0.2937698863680893,11.569120879120879
2020-04-01,1.086346923123216,2.6333333333333333,0.5,10.630826439133706,-14.163030243240193,78.7012087912088
2020-07-01,1.3556256580153692,2.533333333333333,0.5,10.679425627470222,-9.76572125766868,88.43695652173913
2020-10-01,4.80596107493354,2.8333333333333335,0.5,10.743300514029661,-3.8854452162318864,81.52119565217392
2021-01-01,4.5942418933268225,3.0,0.5,10.782322413820689,-0.5288131132340723,79.17
2021-04-01,3.6282797555875934,3.0666666666666664,0.5,10.793377460382525,0.0014743133368355643,82.45087912087912
2021-07-01,6.5344895221115085,3.6999999999999997,0.9603174603174603,10.834195629045972,3.4874310128476083,63.5429347826087
2021-10-01,11.956157507016796,4.7,2.82142857142857,10.851808590168474,4.641239515882667,33.86836956521739
2022-01-01,11.339138590893839,4.933333333333334,5.114906832298137,10.839293468518235,2.7774481497196746,29.423111111111112
2022-04-01,16.470284191895423,6.233333333333333,7.945075757575757,10.841886040956544,2.4235696762470837,27.067032967032965
2022-07-01,14.91023231719213,7.133333333333333,9.90952380952381,10.833176505366593,0.9408230544504903,26.901304347826088
2022-10-01,9.316469634643788,5.8,11.188596491228067,10.831273455942759,0.14075214338511444,14.054891304347825
2023-01-01,6.754331097689348,4.933333333333334,11.25,10.836490072972783,0.05477139703415901,11.24391304347826
2023-04-01,4.187198531451242,4.266666666666667,11.25,10.840182943889971,-0.18145198615187041,8.432934782608694
2023-07-01,2.3700067414445636,3.5,10.35693400167086,10.848796937217035,0.07654306909490316,5.621956521739129
2023-10-01,5.09938216372825,3.266666666666667,9.057894736842107,10.851263333246035,-0.27802777753045405,2.8109782608695646
2024-01-01,4.3803128646684675,3.0,7.583333333333333,10.8645865077302,0.4553128403648188,0.0
2024-04-01,4.561911406351271,3.1666666666666665,6.277739804055597,10.85744348979353,-0.8555186063887277,0.0
2024-07-01,3.9252104268620025,3.733333333333333,5.6759259259259265,10.873757868668397,0.1817657933528949,0.0
2024-10-01,4.982224148626391,3.6333333333333333,5.26590909090909,10.883097993533232,0.5244646444680257,0.0
2025-01-01,5.918619504324418,3.6333333333333333,5.0,10.893572915752403,0.9838331668079903,0.0
